iter	RMSE
0	5.009384346
1	4.813355202
2	4.629756811
3	4.444461635
4	4.289484576
5	4.127745283
6	3.983958624
7	3.837745202
8	3.697307252
9	3.581655001
10	3.458215444
11	3.341612168
12	3.225952732
13	3.120848195
14	3.015515002
15	2.915411125
16	2.834762015
17	2.754504433
18	2.667944361
19	2.601244651
20	2.534437346
21	2.464644889
22	2.39250354
23	2.327510566
24	2.273346576
25	2.225779102
26	2.17355815
27	2.120357458
28	2.07633707
29	2.035597856
30	1.993303417
31	1.960011661
32	1.921973778
33	1.882484982
34	1.849139032
35	1.817311342
36	1.786295775
37	1.756017196
38	1.730894778
39	1.707074666
40	1.686772785
41	1.667659476
42	1.647019424
43	1.626620081
44	1.607052585
45	1.589029049
46	1.572386641
47	1.556438374
48	1.540035577
49	1.525081948
50	1.513073035
51	1.500792031
52	1.488819329
53	1.478276668
54	1.465105883
55	1.455949027
56	1.448051331
57	1.439822257
58	1.431493704
59	1.424920104
60	1.418152018
61	1.411809489
62	1.405935248
63	1.39879162
64	1.392578663
65	1.386874042
66	1.380197349
67	1.374946486
68	1.369257828
69	1.365301415
70	1.355803721
71	1.3501141
72	1.345426918
73	1.340965003
74	1.334731994
75	1.331113803
76	1.323075415
77	1.319633037
78	1.317407174
79	1.314695042
80	1.311836539
81	1.308904363
82	1.307329904
83	1.304773852
84	1.298019448
85	1.296095647
86	1.293733449
87	1.292043316
88	1.288406638
89	1.285380478
90	1.283942079
91	1.282006271
92	1.27516859
93	1.269873464
94	1.268333615
95	1.265456014
96	1.261551576
97	1.259719219
98	1.255456536
99	1.253909385
100	1.252399102
101	1.25090402
102	1.250042087
103	1.247890135
104	1.245997674
105	1.244946479
106	1.240449461
107	1.239350329
108	1.23777781
109	1.23702602
110	1.235602765
111	1.234701087
112	1.233679077
113	1.232719695
114	1.230592593
115	1.229165259
116	1.228164325
117	1.226846355
118	1.225880424
119	1.225246043
120	1.222273487
121	1.217975312
122	1.21484378
123	1.214052918
124	1.213317177
125	1.212608201
126	1.210109533
127	1.209288028
128	1.207722635
129	1.206707896
130	1.206137654
131	1.205275216
132	1.203745999
133	1.202399223
134	1.201543706
135	1.198952877
136	1.197911864
137	1.197043122
138	1.194207387
139	1.192625521
140	1.190634077
141	1.187440545
142	1.183882767
143	1.182754546
144	1.182237366
145	1.180949752
146	1.179709071
147	1.179105118
148	1.178347884
149	1.176973589
150	1.176286734
151	1.173622266
152	1.173153341
153	1.172401926
154	1.171280904
155	1.168498248
156	1.167293611
157	1.166346087
158	1.16570325
159	1.164610806
160	1.163129577
161	1.162553968
162	1.161609454
163	1.160558785
164	1.159600309
165	1.158628216
166	1.15787441
167	1.156749944
168	1.156228517
169	1.153523932
170	1.152481066
171	1.15107377
172	1.149934112
173	1.148939352
174	1.148316532
175	1.147836289
176	1.146109817
177	1.14475839
178	1.143927274
179	1.142184818
180	1.141695458
181	1.14084967
182	1.140011908
183	1.139125404
184	1.135819569
185	1.134400987
186	1.134030047
187	1.13349589
188	1.132524347
189	1.130629149
190	1.129707049
191	1.128827764
192	1.127528581
193	1.126485937
194	1.124366966
195	1.12369201
196	1.122177898
197	1.119901611
198	1.119319294
199	1.118774481
200	1.118050676
201	1.117196534
202	1.116357794
203	1.115064418
204	1.114162417
205	1.112238865
206	1.110622716
207	1.110553741
208	1.109686837
209	1.109623496
210	1.109304394
211	1.107219246
212	1.107156657
213	1.106787067
214	1.104408623
215	1.103434896
216	1.101974641
217	1.100033459
218	1.099060658
219	1.098757607
220	1.098698107
221	1.098136904
222	1.096978284
223	1.09598583
224	1.09490058
225	1.093984987
226	1.091544227
227	1.091487932
228	1.091431152
229	1.090099787
230	1.089035942
231	1.088984625
232	1.087369801
233	1.086773263
234	1.086703604
235	1.085505423
236	1.083905317
237	1.083094304
238	1.081455287
239	1.080798206
240	1.079909651
241	1.07805916
242	1.075592441
243	1.07554464
244	1.074543928
245	1.074054132
246	1.074007782
247	1.072968763
248	1.072923864
249	1.072875449
250	1.071763566
251	1.070794798
252	1.070751869
253	1.070225244
254	1.068030565
255	1.067042894
256	1.065024605
257	1.064039188
258	1.06234515
259	1.061438512
260	1.060707113
261	1.059743997
262	1.059125106
263	1.058437742
264	1.057102853
265	1.056178455
266	1.054966325
267	1.054330523
268	1.054281228
269	1.053900261
270	1.051751603
271	1.051705705
272	1.051650856
273	1.050732415
274	1.050697325
275	1.049648997
276	1.049002312
277	1.048305593
278	1.047235544
279	1.046600562
280	1.044795924
281	1.044320068
282	1.043386987
283	1.042120207
284	1.041522915
285	1.040878483
286	1.040059429
287	1.0400179
288	1.039960927
289	1.039338876
290	1.037408364
291	1.035548912
292	1.03525706
293	1.03419877
294	1.034166105
295	1.033904977
296	1.032208352
297	1.031099204
298	1.030098056
299	1.029690363
300	1.02965876
301	1.029629017
302	1.028984646
303	1.028092686
304	1.027101936
305	1.025980205
306	1.025939522
307	1.025906926
308	1.024941668
309	1.023959786
310	1.022580734
311	1.022227554
312	1.021226344
313	1.020670345
314	1.019818026
315	1.018980566
316	1.018166962
317	1.017150231
318	1.016222856
319	1.016187857
320	1.01542287
321	1.014800268
322	1.014769209
323	1.013624581
324	1.012603215
325	1.011390115
326	1.010762755
327	1.010002973
328	1.009335167
329	1.008350915
330	1.007412624
331	1.006427255
332	1.005583336
333	1.004684238
334	1.003834405
335	1.002246308
336	1.000567102
337	0.999640621
338	0.9989002418
339	0.9983931246
340	0.9977110143
341	0.9967795392
342	0.9967522133
343	0.9958742023
344	0.9952356831
345	0.9936225233
346	0.9932348178
347	0.9925317037
348	0.9924860798
349	0.9922255108
350	0.990610115
351	0.9902100641
352	0.9891821583
353	0.9883306961
354	0.9877074967
355	0.9868621202
356	0.9856382881
357	0.9848265568
358	0.9838174066
359	0.9831374939
360	0.9820841481
361	0.9814788583
362	0.9802647494
363	0.9793251005
364	0.9784021045
365	0.9776736612
366	0.9761590507
367	0.9746345627
368	0.9740834638
369	0.9735288385
370	0.9728240897
371	0.972405314
372	0.9714595861
373	0.9709705551
374	0.9696519945
375	0.9688866338
376	0.9679694991
377	0.9667738667
378	0.9657572663
379	0.9647092959
380	0.9639380637
381	0.9628222421
382	0.962263288
383	0.961266806
384	0.9601567637
385	0.9592591856
386	0.9587147236
387	0.9578602434
388	0.9566118038
389	0.9561521861
390	0.9554478085
391	0.9545491065
392	0.9534828316
393	0.9525715604
394	0.9515052202
395	0.9506150004
396	0.9500364297
397	0.9492026314
398	0.9485821561
399	0.9477098872
400	0.9476341929
401	0.9470956849
402	0.9464377251
403	0.9457258438
404	0.9448095862
405	0.9440468021
406	0.9434222545
407	0.942839507
408	0.9422217383
409	0.9422005009
410	0.9418777869
411	0.9409082145
412	0.9402302604
413	0.9389659507
414	0.9380736384
415	0.9380421534
416	0.9373738455
417	0.9368241354
418	0.9362441643
419	0.9356218365
420	0.9347182355
421	0.9341087882
422	0.933676785
423	0.9328879854
424	0.9319760421
425	0.9310220904
426	0.9304648975
427	0.9298741301
428	0.9293100839
429	0.927634244
430	0.9268074566
431	0.9261873473
432	0.9252828541
433	0.9246791536
434	0.9236395638
435	0.9233227298
436	0.9222925148
437	0.9215801962
438	0.92056479
439	0.9203150091
440	0.9196601234
441	0.918972869
442	0.9183518618
443	0.9176928358
444	0.9169633577
445	0.9156637242
446	0.9148647583
447	0.9143084818
448	0.9131478084
449	0.9129131951
450	0.9125847995
451	0.9119328239
452	0.9114551061
453	0.9109992348
454	0.9105622077
455	0.9102695082
456	0.9096821654
457	0.9092215496
458	0.9087392307
459	0.9075638749
460	0.9064642493
461	0.905804531
462	0.9055593083
463	0.9048681904
464	0.9042738731
465	0.903747934
466	0.903265062
467	0.9025714416
468	0.9020290262
469	0.9011379982
470	0.9009192192
471	0.90021684
472	0.8995599823
473	0.898905162
474	0.8981969381
475	0.8975476606
476	0.8966169181
477	0.8961485974
478	0.8953827742
479	0.8947096674
480	0.8942796576
481	0.8935901665
482	0.8925659088
483	0.8915080148
484	0.891086234
485	0.8901074662
486	0.8895825219
487	0.888945672
488	0.8881570306
489	0.8875430033
490	0.8869283845
491	0.8866459894
492	0.8858546341
493	0.8850505419
494	0.8844146
495	0.8835030862
496	0.8824638362
497	0.8820530245
498	0.8814328259
499	0.8803512121
500	0.8795167319
501	0.8790634508
502	0.878463449
503	0.877671461
504	0.8773751672
505	0.8765258184
506	0.8759062251
507	0.8756397782
508	0.8751682631
509	0.8745232807
510	0.8738738728
511	0.8734380676
512	0.8727685519
513	0.8717982559
514	0.8713123588
515	0.8706514228
516	0.8698157776
517	0.8689199577
518	0.8685206782
519	0.8677824641
520	0.8671472178
521	0.8668513182
522	0.8663438946
523	0.8660695202
524	0.8659033199
525	0.8652662661
526	0.8646292697
527	0.8639856751
528	0.8630558366
529	0.862305438
530	0.8618701913
531	0.8609216911
532	0.8607434775
533	0.8599498013
534	0.8591614653
535	0.8585943156
536	0.8583705905
537	0.857332735
538	0.8562102948
539	0.8557387499
540	0.8552310422
541	0.8545245145
542	0.8539984576
543	0.8534904833
544	0.852753096
545	0.8522985375
546	0.8516049693
547	0.8510442856
548	0.8501092503
549	0.849201606
550	0.8487738836
551	0.8483166989
552	0.847293811
553	0.8467146651
554	0.8461861959
555	0.8455486609
556	0.8445662423
557	0.8438336333
558	0.8431776998
559	0.8424967355
560	0.8417113456
561	0.8409143233
562	0.8402971095
563	0.839524482
564	0.8389114273
565	0.8382659258
566	0.8376025036
567	0.8372692095
568	0.8364142101
569	0.8356854858
570	0.8348298511
571	0.83416823
572	0.8335271108
573	0.8323838835
574	0.8315301894
575	0.8305891513
576	0.8304408379
577	0.8293361339
578	0.8290330642
579	0.8284486855
580	0.8280590233
581	0.8272339347
582	0.8266180493
583	0.8262409514
584	0.8256218529
585	0.8251897839
586	0.8245158576
587	0.8239150472
588	0.8228016635
589	0.8223069244
590	0.8213738957
591	0.8208198089
592	0.8201481503
593	0.8193300646
594	0.8184189153
595	0.8178198239
596	0.8174113178
597	0.8167875296
598	0.8163008804
599	0.8159874499
600	0.8156214155
601	0.8146473498
602	0.8142049627
603	0.8137842192
604	0.812803502
605	0.8120013628
606	0.8113954221
607	0.8108330236
608	0.8106260399
609	0.8099129594
610	0.8093007087
611	0.8088700534
612	0.8082713156
613	0.8071095545
614	0.8064679683
615	0.8062105459
616	0.805960306
617	0.8054653846
618	0.8052444231
619	0.8046062029
620	0.8042141553
621	0.803347879
622	0.8026096233
623	0.8021939683
624	0.8017239312
625	0.8008340884
626	0.8006461519
627	0.8001157806
628	0.799641247
629	0.799219021
630	0.7987210293
631	0.7983671565
632	0.7978071842
633	0.7971870654
634	0.7966265041
635	0.7958794911
636	0.7955893675
637	0.7952650326
638	0.7946659842
639	0.7944425817
640	0.7938838642
641	0.7935753384
642	0.7934329864
643	0.7925498072
644	0.7923431774
645	0.7918103184
646	0.790922749
647	0.790412794
648	0.7900695184
649	0.7895421311
650	0.7890389253
651	0.7882840412
652	0.7877248525
653	0.7870480491
654	0.7864328794
655	0.7859700682
656	0.785356295
657	0.7848283223
658	0.7843862172
659	0.7832480483
660	0.7827194776
661	0.7823804677
662	0.781786146
663	0.7813840565
664	0.7807838844
665	0.7799144327
666	0.7794969584
667	0.7790042479
668	0.7783901615
669	0.7780718246
670	0.7778640238
671	0.7773385042
672	0.7770620896
673	0.776599194
674	0.776043403
675	0.7757527459
676	0.7750114937
677	0.774156745
678	0.7734031179
679	0.7725961281
680	0.7718902783
681	0.7713912876
682	0.7710225763
683	0.7704129854
684	0.7697749246
685	0.7693657545
686	0.7687988581
687	0.7680453988
688	0.7676140631
689	0.7669253744
690	0.7666444312
691	0.76637613
692	0.7659068855
693	0.765717146
694	0.7650591455
695	0.7649492109
696	0.7648510542
697	0.7641976361
698	0.7635872624
699	0.7626801265
700	0.7624150336
701	0.7621902646
702	0.7618006464
703	0.7617400741
704	0.7614823602
705	0.760553988
706	0.7598785866
707	0.7595965601
708	0.7591446756
709	0.7587423758
710	0.7583752656
711	0.7577093099
712	0.756988618
713	0.7562250471
714	0.7555486464
715	0.7553736654
716	0.754584604
717	0.7539452023
718	0.7533855077
719	0.7529413702
720	0.7525211608
721	0.7519359938
722	0.7517225663
723	0.7515641167
724	0.750929666
725	0.7502916997
726	0.7498691614
727	0.7493201574
728	0.7488147617
729	0.7484093447
730	0.7477228393
731	0.746929717
732	0.7465709962
733	0.7462793221
734	0.7457445457
735	0.7454038872
736	0.7449276566
737	0.7445605318
738	0.7441897547
739	0.7438419947
740	0.7434398175
741	0.7426732126
742	0.7421905924
743	0.741754243
744	0.7413971389
745	0.7410831682
746	0.7406136997
747	0.7397847382
748	0.7395606766
749	0.7392538003
750	0.7387768825
751	0.7385855911
752	0.738208494
753	0.7378865942
754	0.7376707409
755	0.73711134
756	0.7367271566
757	0.7361795792
758	0.7354225818
759	0.734855904
760	0.7342749114
761	0.7334108355
762	0.7330095174
763	0.7322740514
764	0.7317636208
765	0.7314756951
766	0.7313227414
767	0.7307914085
768	0.7306432507
769	0.7300352793
770	0.7297767427
771	0.7293651548
772	0.728989765
773	0.7287335676
774	0.7285647082
775	0.7281990269
776	0.7278554921
777	0.7274127808
778	0.7268259247
779	0.7266022863
780	0.7262038217
781	0.7260182037
782	0.7255972487
783	0.7253537873
784	0.7248476691
785	0.7242621634
786	0.7235719023
787	0.722742442
788	0.7221091346
789	0.7217017246
790	0.7213672471
791	0.7205258282
792	0.7200543714
793	0.719461672
794	0.7189797721
795	0.7185265031
796	0.718289447
797	0.7178886587
798	0.7173490492
799	0.7168478107
800	0.7162627763
801	0.7159701628
802	0.7157350931
803	0.7151770429
804	0.7148596445
805	0.7143028412
806	0.7137149353
807	0.7133179266
808	0.713032809
809	0.7123774782
810	0.7122083516
811	0.7117123287
812	0.7113666961
813	0.7107239443
814	0.7098462021
815	0.7095943113
816	0.7085440276
817	0.7079979345
818	0.7077931256
819	0.7070003659
820	0.7062721745
821	0.7056724223
822	0.7051459543
823	0.7046427765
824	0.7039889583
825	0.7033089051
826	0.7027154361
827	0.7021582943
828	0.7017337707
829	0.7016223423
830	0.7012251532
831	0.7004994333
832	0.7000737463
833	0.6996703585
834	0.6990110746
835	0.6988425445
836	0.6982462877
837	0.6977752992
838	0.6973879759
839	0.6971954602
840	0.6965017234
841	0.6964924233
842	0.6961380974
843	0.6956449771
844	0.6952576387
845	0.6945080515
846	0.6942635263
847	0.6937385859
848	0.6928318629
849	0.692254153
850	0.6917388066
851	0.691172929
852	0.690607328
853	0.6899791048
854	0.6892964665
855	0.6885712783
856	0.6882890841
857	0.6877518198
858	0.6872321304
859	0.6868015018
860	0.68644951
861	0.685973789
862	0.6858467432
863	0.6856782878
864	0.6849716535
865	0.6844317264
866	0.6840948377
867	0.6838823159
868	0.6832482363
869	0.682642267
870	0.6824952547
871	0.6819762823
872	0.6819086504
873	0.6812747844
874	0.6807011107
875	0.6803223961
876	0.6800402241
877	0.6794055989
878	0.6789443582
879	0.6785190477
880	0.6778069825
881	0.6770127105
882	0.6766053973
883	0.6762352061
884	0.6757989271
885	0.6755395681
886	0.6753823765
887	0.6747724322
888	0.674500192
889	0.6739707772
890	0.6735620862
891	0.6731608534
892	0.6726542818
893	0.6721644585
894	0.6715501758
895	0.6713942997
896	0.670971511
897	0.6704911302
898	0.6704083669
899	0.6699887765
900	0.6694779483
901	0.6692218475
902	0.6687494839
903	0.6683378377
904	0.667965919
905	0.6676937274
906	0.667083204
907	0.6665079933
908	0.6659864326
909	0.66552897
910	0.6650045285
911	0.664411724
912	0.6639962381
913	0.6632734861
914	0.6628059902
915	0.6624402172
916	0.6619252453
917	0.6615542825
918	0.6610887093
919	0.660569404
920	0.6599693998
921	0.6596280301
922	0.659190552
923	0.6590927659
924	0.6588331759
925	0.6580278608
926	0.6576363035
927	0.6573398847
928	0.6570845598
929	0.6565071185
930	0.6561263265
931	0.6558029009
932	0.6554825419
933	0.6552517686
934	0.6544469066
935	0.6540964601
936	0.6534465511
937	0.6529466045
938	0.652606455
939	0.6520481367
940	0.6515831205
941	0.6513627915
942	0.6509547634
943	0.6505819971
944	0.6503313171
945	0.6499714212
946	0.649425172
947	0.6491950229
948	0.6488707435
949	0.6485147733
950	0.6483073886
951	0.6478378115
952	0.6474062951
953	0.6470204678
954	0.6465821963
955	0.6461586802
956	0.6455712208
957	0.6449792526
958	0.6448549817
959	0.6443054638
960	0.6438077526
961	0.6435118724
962	0.6431618401
963	0.6425322946
964	0.6421229357
965	0.6417204569
966	0.641197274
967	0.6404538691
968	0.6398514167
969	0.6397360786
970	0.6395270506
971	0.6388775434
972	0.638583812
973	0.6380970221
974	0.6374909294
975	0.6372533976
976	0.6366296259
977	0.6362262659
978	0.6358669165
979	0.6354883076
980	0.634836485
981	0.6345588087
982	0.63424043
983	0.6334419457
984	0.6331269195
985	0.6325020806
986	0.6318659605
987	0.6313023817
988	0.6308801746
989	0.6302902048
990	0.6298442673
991	0.6293042244
992	0.6289481928
993	0.6284393988
994	0.6277769523
995	0.6273252424
996	0.6268521379
997	0.6263464845
998	0.6260586028
999	0.6254158671
