iter	Passed	Remaining
0	2	2156
1	4	2421
2	7	2488
3	9	2487
4	12	2545
5	15	2593
6	18	2613
7	21	2649
8	24	2652
9	26	2660
10	29	2657
11	32	2642
12	34	2637
13	37	2633
14	40	2628
15	42	2637
16	45	2630
17	48	2619
18	50	2610
19	53	2608
20	55	2602
21	68	3027
22	70	3006
23	73	2989
24	76	2968
25	78	2947
26	81	2924
27	83	2907
28	86	2894
29	89	2885
30	91	2871
31	94	2858
32	97	2845
33	99	2833
34	102	2820
35	104	2810
36	107	2801
37	110	2790
38	112	2778
39	115	2768
40	117	2755
41	120	2750
42	123	2741
43	125	2730
44	128	2721
45	130	2713
46	133	2704
47	159	3159
48	161	3143
49	164	3125
50	167	3113
51	169	3098
52	172	3082
53	175	3067
54	177	3052
55	180	3038
56	182	3026
57	185	3013
58	188	3001
59	190	2988
60	193	2976
61	195	2963
62	198	2956
63	201	2945
64	204	2934
65	206	2924
66	209	2913
67	211	2902
68	214	2895
69	217	2888
70	220	2879
71	222	2869
72	225	2860
73	227	2850
74	230	2842
75	233	2833
76	235	2826
77	238	2817
78	240	2807
79	243	2798
80	245	2789
81	248	2780
82	250	2771
83	253	2762
84	255	2754
85	258	2745
86	261	2739
87	263	2730
88	265	2722
89	268	2714
90	270	2706
91	273	2699
92	275	2691
93	278	2683
94	280	2676
95	283	2668
96	285	2661
97	288	2653
98	290	2645
99	293	2637
100	295	2630
101	297	2622
102	300	2615
103	302	2608
104	305	2601
105	307	2595
106	310	2588
107	312	2582
108	315	2576
109	317	2569
110	320	2563
111	322	2556
112	324	2550
113	327	2544
114	329	2538
115	332	2532
116	334	2525
117	337	2519
118	339	2514
119	342	2508
120	344	2502
121	346	2496
122	349	2491
123	351	2486
124	354	2481
125	357	2478
126	359	2474
127	362	2469
128	365	2466
129	367	2460
130	370	2456
131	372	2450
132	375	2445
133	377	2440
134	380	2435
135	382	2431
136	385	2426
137	387	2422
138	390	2418
139	392	2413
140	395	2407
141	397	2403
142	400	2399
143	402	2394
144	405	2389
145	407	2384
146	410	2380
147	412	2375
148	415	2370
149	417	2367
150	420	2363
151	422	2359
152	425	2354
153	427	2350
154	430	2345
155	436	2362
156	439	2359
157	442	2355
158	444	2351
159	447	2348
160	449	2344
161	452	2340
162	454	2336
163	457	2331
164	459	2327
165	462	2324
166	465	2319
167	467	2315
168	470	2311
169	472	2306
170	474	2302
171	481	2316
172	483	2313
173	486	2309
174	488	2304
175	491	2300
176	494	2298
177	496	2295
178	499	2292
179	502	2289
180	505	2286
181	508	2284
182	511	2282
183	513	2278
184	516	2274
185	519	2271
186	522	2269
187	524	2265
188	527	2262
189	529	2258
190	532	2254
191	534	2251
192	537	2247
193	540	2244
194	542	2240
195	545	2237
196	547	2233
197	550	2229
198	552	2225
199	555	2221
200	557	2217
201	560	2213
202	562	2209
203	565	2206
204	568	2202
205	570	2200
206	573	2196
207	575	2192
208	578	2189
209	581	2185
210	583	2182
211	586	2178
212	588	2175
213	591	2171
214	594	2169
215	597	2167
216	599	2164
217	602	2161
218	605	2157
219	607	2154
220	610	2150
221	612	2146
222	615	2144
223	617	2140
224	620	2137
225	623	2133
226	625	2130
227	628	2126
228	630	2123
229	633	2119
230	635	2116
231	638	2112
232	640	2109
233	643	2106
234	646	2102
235	648	2099
236	651	2096
237	653	2092
238	656	2089
239	658	2086
240	661	2083
241	664	2080
242	666	2077
243	669	2073
244	671	2070
245	674	2066
246	677	2063
247	679	2060
248	681	2056
249	684	2053
250	686	2049
251	689	2046
252	692	2044
253	694	2040
254	697	2037
255	699	2034
256	702	2031
257	705	2028
258	707	2025
259	710	2021
260	712	2018
261	715	2015
262	718	2012
263	720	2008
264	723	2005
265	725	2002
266	728	1998
267	730	1995
268	732	1991
269	735	1988
270	738	1985
271	740	1982
272	742	1978
273	745	1975
274	747	1971
275	750	1968
276	752	1964
277	755	1961
278	757	1958
279	760	1955
280	762	1951
281	765	1948
282	768	1947
283	771	1944
284	774	1941
285	776	1939
286	779	1936
287	782	1933
288	784	1931
289	787	1927
290	789	1924
291	792	1921
292	794	1917
293	797	1914
294	799	1911
295	802	1908
296	805	1905
297	807	1902
298	810	1899
299	812	1896
300	815	1892
301	817	1889
302	820	1886
303	822	1883
304	825	1879
305	827	1877
306	830	1874
307	832	1871
308	835	1867
309	837	1864
310	840	1861
311	842	1858
312	845	1855
313	847	1852
314	850	1848
315	852	1845
316	855	1842
317	857	1839
318	860	1836
319	862	1833
320	865	1830
321	867	1826
322	870	1823
323	872	1820
324	875	1818
325	878	1816
326	881	1813
327	883	1810
328	886	1807
329	888	1804
330	891	1801
